category_name,name,description
Verbal Ability,Antonyms,"Words with opposite meanings and contrasting usage"
Verbal Ability,Sentence Completion,"Filling blanks with appropriate words maintaining sentence coherence"
Verbal Ability,Sentence Correction,"Identifying and correcting grammatical errors in sentences"
Verbal Ability,Para Jumbles,"Rearranging shuffled sentences to form coherent paragraphs"
Verbal Ability,Reading Comprehension,"Understanding passages and answering inference-based questions"
Verbal Ability,Idioms and Phrases,"Common English idioms and their contextual meanings"
Verbal Ability,One Word Substitution,"Replacing phrases with single appropriate words"
Verbal Ability,Spotting Errors,"Identifying grammatical or structural errors in sentences"
Verbal Ability,Active Passive Voice,"Converting sentences between active and passive voice"
Verbal Ability,Direct Indirect Speech,"Narration changes from direct to indirect speech"
Verbal Ability,Fill in the Blanks,"Completing sentences with grammatically correct words"
Verbal Ability,Sentence Improvement,"Improving sentence structure while maintaining meaning"
Verbal Ability,Vocabulary,"Advanced word meanings and contextual usage"
Verbal Ability,Cloze Test,"Multiple blanks in passages requiring contextual word selection"
Data Interpretation,Tables,"Analyzing and interpreting data presented in tabular format"
Data Interpretation,Bar Charts,"Reading and analyzing bar graph data and trends"
Data Interpretation,Line Graphs,"Interpreting trends and patterns in line graph representations"
Data Interpretation,Pie Charts,"Percentage distribution analysis using pie chart data"
Data Interpretation,Mixed Charts,"Combined chart types requiring multi-source data analysis"
Data Interpretation,Radar Charts,"Analyzing multi-variable data in radar/spider chart format"
Data Interpretation,Case Studies,"Complex multi-paragraph data scenarios with multiple questions"
Data Interpretation,Data Calculation,"Performing calculations on given datasets for derived values"
Coding & Programming,C Programming,"C language syntax, pointers, arrays, and basic programs"
Coding & Programming,C++ Programming,"Object-oriented concepts, classes, inheritance, and polymorphism"
Coding & Programming,Java Programming,"Java syntax, OOP principles, collections, and exception handling"
Coding & Programming,Python Programming,"Python syntax, data structures, functions, and libraries"
Coding & Programming,Data Structures,"Arrays, linked lists, stacks, queues, trees, and graphs"
Coding & Programming,Algorithms,"Sorting, searching, recursion, dynamic programming, and greedy algorithms"
Coding & Programming,Code Output,"Predicting output of given code snippets"
Coding & Programming,Code Debugging,"Identifying and fixing errors in code"
Coding & Programming,Pseudocode,"Understanding and writing algorithm pseudocode"
General Aptitude,Basic Mathematics,"Fundamental arithmetic and mathematical operations"
General Aptitude,Mental Ability,"Quick calculation and logical thinking problems"
General Aptitude,Problem Solving,"Generic problem-solving using mathematical and logical skills"
Technical Aptitude,Computer Fundamentals,"Basic computer architecture, hardware, and software concepts"
Technical Aptitude,Operating Systems,"Process management, memory management, and OS concepts"
Technical Aptitude,DBMS,"Database normalization, SQL queries, and transaction management"
Technical Aptitude,Computer Networks,"Network protocols, OSI model, TCP/IP, and network devices"
Technical Aptitude,Software Engineering,"SDLC models, testing, and software development methodologies"
Technical Aptitude,Digital Logic,"Boolean algebra, logic gates, and digital circuit design"
Verbal Reasoning,Statement Analysis,"Evaluating truth and validity of given statements"
Verbal Reasoning,Logical Deduction,"Drawing logical conclusions from premises"
Verbal Reasoning,Argument Analysis,"Evaluating strength and validity of arguments"
Non-Verbal Reasoning,Pattern Completion,"Identifying and completing visual patterns"
Non-Verbal Reasoning,Figure Series,"Finding next figure in a series of visual patterns"
Non-Verbal Reasoning,Mirror Images,"Identifying correct mirror reflections of figures"
Non-Verbal Reasoning,Water Images,"Identifying reflections of figures in water"
Non-Verbal Reasoning,Paper Folding,"Predicting outcomes of folding and cutting paper"
Non-Verbal Reasoning,Embedded Figures,"Finding hidden shapes within complex figures"
Non-Verbal Reasoning,Cube and Dice,"Analyzing cube/dice rotations and opposite faces"
Analytical Reasoning,Scheduling Problems,"Time-based scheduling and constraint satisfaction"
Analytical Reasoning,Grouping and Selection,"Selecting members based on given conditions"
Analytical Reasoning,Distribution Problems,"Distributing items or people based on constraints"
Analytical Reasoning,Comparison and Ranking,"Multi-criteria comparison and ranking problems"
